"strategic_theme","strategic_subtheme","watch_level","sector_type","sector_code","sector_name","watch_reason","is_active","effective_from","effective_to","definition_source","definition_note"
"AI基础设施","PCB","CORE","concept","885959.TI","PCB概念","高算力设备依赖高性能和高多层PCB",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","算力网络","CORE","concept","885957.TI","东数西算(算力)","东数西算连接数据中心布局和算力调度",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","光互连","CORE","concept","886033.TI","共封装光学(CPO)","CPO是AI集群高速光互连的重要实现方向",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","数据中心","CORE","concept","885887.TI","数据中心(AIDC)","数据中心承载AI训练和推理基础设施",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","散热","CORE","concept","886044.TI","液冷服务器","液冷是高功率AI服务器的重要散热方向",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","算力服务","CORE","concept","886050.TI","算力租赁","算力租赁反映算力服务供给和商业化需求",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","GPU生态","CORE","concept","886048.TI","英伟达概念","英伟达产业链反映全球AI算力硬件景气",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","高速连接","CORE","concept","886073.TI","铜缆高速连接","高速铜连接是AI服务器短距高速互连方向",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","PCB","CORE","industry","884092.TI","印制电路板","印制电路板行业承载AI硬件板级互连",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","算力综合","CORE","style","883443.TI","同花顺算力主题精选","目录中的算力主题精选用于观察算力综合表现",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","光通信","IMPORTANT","concept","886084.TI","光纤概念","光纤是数据中心和算力网络连接基础",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI基础设施","通信网络设备","IMPORTANT","industry","884262.TI","通信网络设备及器件","通信网络设备承载算力网络连接",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","AI PC","CORE","concept","886071.TI","AIPC","AI PC是端侧模型和个人计算终端的重要载体",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","AI手机","CORE","concept","886070.TI","AI手机","AI手机是端侧AI规模化落地的重要终端",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","智能眼镜","CORE","concept","886085.TI","AI眼镜","AI眼镜结合多模态交互和端侧智能",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","MR","IMPORTANT","concept","886046.TI","MR(混合现实)","MR是空间计算和多模态交互终端",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","可穿戴","IMPORTANT","concept","885454.TI","智能穿戴","智能穿戴是端侧AI的外围终端载体",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","消费电子","IMPORTANT","concept","885800.TI","消费电子概念","消费电子范围较宽，用于观察AI终端产业扩散",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI终端","虚拟现实","IMPORTANT","concept","885709.TI","虚拟现实","虚拟现实用于观察沉浸式AI交互终端",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","储能","IMPORTANT","concept","885921.TI","储能","储能帮助平衡数据中心高负荷用电需求",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","智能电网","IMPORTANT","concept","885311.TI","智能电网","智能电网关系AI数据中心新增电力的调度和接入",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","输电","IMPORTANT","concept","885425.TI","特高压","特高压关系跨区域电力输送能力",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","电源设备","IMPORTANT","industry","881282.TI","其他电源设备","其他电源设备用于观察数据中心供电配套",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","电力供给","IMPORTANT","industry","881145.TI","电力","电力行业反映AI基础设施的能源供给约束",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI能源基础设施","电网设备","IMPORTANT","industry","881278.TI","电网设备","电网设备承载新增电力基础设施建设",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","生成式AI","IMPORTANT","concept","886019.TI","AIGC概念","AIGC用于观察生成式AI应用扩散",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","AI应用","IMPORTANT","concept","886108.TI","AI应用","AI应用直接反映软件商业化映射",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","智能体","IMPORTANT","concept","886099.TI","AI智能体","AI智能体是应用自动化的重要技术路线",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","大模型应用","IMPORTANT","concept","886031.TI","ChatGPT概念","ChatGPT概念用于观察大模型应用生态",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","云计算","IMPORTANT","concept","885362.TI","云计算","云计算提供AI应用部署和推理基础",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","人工智能综合","IMPORTANT","concept","885728.TI","人工智能","人工智能板块较宽，作为软件和应用综合观察",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","国产大模型","IMPORTANT","concept","886094.TI","华为盘古","华为盘古是国产大模型的真实目录映射",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","多模态","IMPORTANT","concept","886062.TI","多模态AI","多模态AI连接文本、图像、语音和视频应用",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","国产大模型","IMPORTANT","concept","886090.TI","智谱AI","智谱AI是国产大模型商业化观察方向",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","AI视频","WATCH","concept","886068.TI","AI视频","AI视频应用值得跟踪但盈利兑现差异较大",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","AI语料","WATCH","concept","886074.TI","AI语料","AI语料值得跟踪但商业模式仍待持续验证",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"AI软件商业化","AI综合样本","WATCH","concept","886102.TI","中国AI50","中国AI50作为目录中的AI综合观察样本",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","人形机器人","CORE","concept","886069.TI","人形机器人","人形机器人是具身智能的直接整机映射",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","核心执行器","CORE","concept","886008.TI","减速器","减速器是机器人核心执行部件",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","机器人综合","CORE","concept","885517.TI","机器人概念","机器人概念覆盖具身智能主要产业链",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","感知","CORE","concept","886002.TI","机器视觉","机器视觉是机器人环境感知的重要环节",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","机器人整机","CORE","industry","884218.TI","机器人","机器人行业用于观察整机和产业链实际表现",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","传感器","IMPORTANT","concept","885946.TI","传感器","传感器是机器人感知系统基础",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","工业控制","IMPORTANT","industry","884219.TI","工控设备","工控设备支撑机器人控制和工业落地",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","电机","IMPORTANT","industry","881277.TI","电机","电机是机器人动力和执行环节",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"具身智能","自动化设备","IMPORTANT","industry","881171.TI","自动化设备","自动化设备覆盖机器人外围执行和控制环节",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","先进封装","CORE","concept","886009.TI","先进封装","先进封装支撑高性能AI芯片集成",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","国产算力芯片","CORE","concept","886058.TI","华为昇腾","华为昇腾是国产AI算力的重要实际映射",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","芯片设计","CORE","concept","885843.TI","华为海思概念股","华为海思是国产芯片设计的重要观察方向",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","服务器处理器","CORE","concept","885980.TI","华为鲲鹏","华为鲲鹏映射国产服务器计算生态",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","存储","CORE","concept","886042.TI","存储芯片","AI计算依赖高带宽和高容量存储体系",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","芯片设计","CORE","industry","884287.TI","数字芯片设计","数字芯片设计是国产算力芯片的核心环节",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","芯片综合","IMPORTANT","concept","885756.TI","芯片概念","芯片概念较宽，作为国产算力上游综合观察",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","半导体综合","IMPORTANT","industry","881121.TI","半导体","半导体行业较宽，只作为算力上游综合观察",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","半导体设备","IMPORTANT","industry","884229.TI","半导体设备","半导体设备关系国产芯片制造自主化",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","芯片制造","IMPORTANT","industry","884227.TI","集成电路制造","集成电路制造关系国产算力芯片供给",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
"国产AI算力","封装测试","IMPORTANT","industry","884228.TI","集成电路封测","集成电路封测是芯片产业链关键环节",1,"2026-08-30",\N,"AI_RESEARCH","AI战略主线V1；仅使用sector_catalog中的真实板块映射"
